,team_name,href,id,year,league_id
2,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148/saison_id/2016,148,2016,2
3,Arsenal FC,/fc-arsenal/startseite/verein/11/saison_id/2016,11,2016,2
4,Manchester United,/manchester-united/startseite/verein/985/saison_id/2016,985,2016,2
5,Liverpool FC,/fc-liverpool/startseite/verein/31/saison_id/2016,31,2016,2
6,Everton FC,/fc-everton/startseite/verein/29/saison_id/2016,29,2016,2
7,West Ham United,/west-ham-united/startseite/verein/379/saison_id/2016,379,2016,2
8,Southampton FC,/fc-southampton/startseite/verein/180/saison_id/2016,180,2016,2
9,Crystal Palace,/crystal-palace/startseite/verein/873/saison_id/2016,873,2016,2
10,Leicester City,/leicester-city/startseite/verein/1003/saison_id/2016,1003,2016,2
11,Stoke City,/stoke-city/startseite/verein/512/saison_id/2016,512,2016,2
12,Watford FC,/fc-watford/startseite/verein/1010/saison_id/2016,1010,2016,2
13,Swansea City,/swansea-city/startseite/verein/2288/saison_id/2016,2288,2016,2
14,Hull City,/hull-city/startseite/verein/3008/saison_id/2016,3008,2016,2
15,Sunderland AFC,/afc-sunderland/startseite/verein/289/saison_id/2016,289,2016,2
16,AFC Bournemouth,/afc-bournemouth/startseite/verein/989/saison_id/2016,989,2016,2
17,Middlesbrough FC,/fc-middlesbrough/startseite/verein/641/saison_id/2016,641,2016,2
18,West Bromwich Albion,/west-bromwich-albion/startseite/verein/984/saison_id/2016,984,2016,2
19,Burnley FC,/fc-burnley/startseite/verein/1132/saison_id/2016,1132,2016,2
0,Manchester City,/manchester-city/startseite/verein/281/saison_id/2017,281,2017,2
1,Chelsea FC,/fc-chelsea/startseite/verein/631/saison_id/2017,631,2017,2
2,Liverpool FC,/fc-liverpool/startseite/verein/31/saison_id/2017,31,2017,2
3,Manchester United,/manchester-united/startseite/verein/985/saison_id/2017,985,2017,2
4,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148/saison_id/2017,148,2017,2
5,Arsenal FC,/fc-arsenal/startseite/verein/11/saison_id/2017,11,2017,2
6,Everton FC,/fc-everton/startseite/verein/29/saison_id/2017,29,2017,2
7,Leicester City,/leicester-city/startseite/verein/1003/saison_id/2017,1003,2017,2
8,Southampton FC,/fc-southampton/startseite/verein/180/saison_id/2017,180,2017,2
9,West Ham United,/west-ham-united/startseite/verein/379/saison_id/2017,379,2017,2
10,Crystal Palace,/crystal-palace/startseite/verein/873/saison_id/2017,873,2017,2
11,Newcastle United,/newcastle-united/startseite/verein/762/saison_id/2017,762,2017,2
12,Watford FC,/fc-watford/startseite/verein/1010/saison_id/2017,1010,2017,2
13,Stoke City,/stoke-city/startseite/verein/512/saison_id/2017,512,2017,2
14,Burnley FC,/fc-burnley/startseite/verein/1132/saison_id/2017,1132,2017,2
15,West Bromwich Albion,/west-bromwich-albion/startseite/verein/984/saison_id/2017,984,2017,2
16,Swansea City,/swansea-city/startseite/verein/2288/saison_id/2017,2288,2017,2
17,Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2017,1237,2017,2
18,AFC Bournemouth,/afc-bournemouth/startseite/verein/989/saison_id/2017,989,2017,2
19,Huddersfield Town,/huddersfield-town/startseite/verein/1110/saison_id/2017,1110,2017,2
0,Manchester City,/manchester-city/startseite/verein/281/saison_id/2018,281,2018,2
1,Liverpool FC,/fc-liverpool/startseite/verein/31/saison_id/2018,31,2018,2
2,Chelsea FC,/fc-chelsea/startseite/verein/631/saison_id/2018,631,2018,2
3,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148/saison_id/2018,148,2018,2
4,Manchester United,/manchester-united/startseite/verein/985/saison_id/2018,985,2018,2
5,Arsenal FC,/fc-arsenal/startseite/verein/11/saison_id/2018,11,2018,2
6,Everton FC,/fc-everton/startseite/verein/29/saison_id/2018,29,2018,2
7,Leicester City,/leicester-city/startseite/verein/1003/saison_id/2018,1003,2018,2
8,West Ham United,/west-ham-united/startseite/verein/379/saison_id/2018,379,2018,2
9,AFC Bournemouth,/afc-bournemouth/startseite/verein/989/saison_id/2018,989,2018,2
10,Southampton FC,/fc-southampton/startseite/verein/180/saison_id/2018,180,2018,2
11,Wolverhampton Wanderers,/wolverhampton-wanderers/startseite/verein/543/saison_id/2018,543,2018,2
12,Crystal Palace,/crystal-palace/startseite/verein/873/saison_id/2018,873,2018,2
13,Fulham FC,/fc-fulham/startseite/verein/931/saison_id/2018,931,2018,2
14,Newcastle United,/newcastle-united/startseite/verein/762/saison_id/2018,762,2018,2
15,Watford FC,/fc-watford/startseite/verein/1010/saison_id/2018,1010,2018,2
16,Burnley FC,/fc-burnley/startseite/verein/1132/saison_id/2018,1132,2018,2
17,Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2018,1237,2018,2
18,Huddersfield Town,/huddersfield-town/startseite/verein/1110/saison_id/2018,1110,2018,2
19,Cardiff City,/cardiff-city/startseite/verein/603/saison_id/2018,603,2018,2
0,Manchester City,/manchester-city/startseite/verein/281/saison_id/2019,281,2019,2
1,Liverpool FC,/fc-liverpool/startseite/verein/31/saison_id/2019,31,2019,2
2,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148/saison_id/2019,148,2019,2
3,Chelsea FC,/fc-chelsea/startseite/verein/631/saison_id/2019,631,2019,2
4,Manchester United,/manchester-united/startseite/verein/985/saison_id/2019,985,2019,2
5,Arsenal FC,/fc-arsenal/startseite/verein/11/saison_id/2019,11,2019,2
6,Everton FC,/fc-everton/startseite/verein/29/saison_id/2019,29,2019,2
7,Leicester City,/leicester-city/startseite/verein/1003/saison_id/2019,1003,2019,2
8,Wolverhampton Wanderers,/wolverhampton-wanderers/startseite/verein/543/saison_id/2019,543,2019,2
9,West Ham United,/west-ham-united/startseite/verein/379/saison_id/2019,379,2019,2
10,AFC Bournemouth,/afc-bournemouth/startseite/verein/989/saison_id/2019,989,2019,2
11,Newcastle United,/newcastle-united/startseite/verein/762/saison_id/2019,762,2019,2
12,Aston Villa,/aston-villa/startseite/verein/405/saison_id/2019,405,2019,2
13,Southampton FC,/fc-southampton/startseite/verein/180/saison_id/2019,180,2019,2
14,Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2019,1237,2019,2
15,Watford FC,/fc-watford/startseite/verein/1010/saison_id/2019,1010,2019,2
16,Crystal Palace,/crystal-palace/startseite/verein/873/saison_id/2019,873,2019,2
17,Burnley FC,/fc-burnley/startseite/verein/1132/saison_id/2019,1132,2019,2
18,Norwich City,/norwich-city/startseite/verein/1123/saison_id/2019,1123,2019,2
19,Sheffield United,/sheffield-united/startseite/verein/350/saison_id/2019,350,2019,2
0,Manchester City,/manchester-city/startseite/verein/281/saison_id/2020,281,2020,2
1,Liverpool FC,/fc-liverpool/startseite/verein/31/saison_id/2020,31,2020,2
2,Chelsea FC,/fc-chelsea/startseite/verein/631/saison_id/2020,631,2020,2
3,Manchester United,/manchester-united/startseite/verein/985/saison_id/2020,985,2020,2
4,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148/saison_id/2020,148,2020,2
5,Arsenal FC,/fc-arsenal/startseite/verein/11/saison_id/2020,11,2020,2
6,Everton FC,/fc-everton/startseite/verein/29/saison_id/2020,29,2020,2
7,Leicester City,/leicester-city/startseite/verein/1003/saison_id/2020,1003,2020,2
8,Wolverhampton Wanderers,/wolverhampton-wanderers/startseite/verein/543/saison_id/2020,543,2020,2
9,Aston Villa,/aston-villa/startseite/verein/405/saison_id/2020,405,2020,2
10,West Ham United,/west-ham-united/startseite/verein/379/saison_id/2020,379,2020,2
11,Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2020,1237,2020,2
12,Southampton FC,/fc-southampton/startseite/verein/180/saison_id/2020,180,2020,2
13,Newcastle United,/newcastle-united/startseite/verein/762/saison_id/2020,762,2020,2
14,Fulham FC,/fc-fulham/startseite/verein/931/saison_id/2020,931,2020,2
15,Leeds United,/leeds-united/startseite/verein/399/saison_id/2020,399,2020,2
16,Crystal Palace,/crystal-palace/startseite/verein/873/saison_id/2020,873,2020,2
17,Sheffield United,/sheffield-united/startseite/verein/350/saison_id/2020,350,2020,2
18,West Bromwich Albion,/west-bromwich-albion/startseite/verein/984/saison_id/2020,984,2020,2
19,Burnley FC,/fc-burnley/startseite/verein/1132/saison_id/2020,1132,2020,2
0,Manchester City,/manchester-city/startseite/verein/281/saison_id/2021,281,2021,2
1,Liverpool FC,/fc-liverpool/startseite/verein/31/saison_id/2021,31,2021,2
2,Chelsea FC,/fc-chelsea/startseite/verein/631/saison_id/2021,631,2021,2
